deg hall1 accelX accelY
81 769 2.41 6.77
81 768 2.25 -0.65
81 763 6.75 -1.55
81 746 -0.64 4.75
81 746 -1.17 3.15
81 503 1.45 3.33
81 13107 3.24 0.00
81 769 -1.88 0.00
81 13107 0.00 0.00
81 18350 0.17 0.00
81 7864 0.00 0.00
81 5243 0.29 0.00
81 7864 0.00 0.00
81 31457 0.00 0.00
81 2621 3.62 0.00
81 20972 5.99 0.00
81 10486 0.00 0.00
81 -26214 4.26 0.00
81 512 0.00 0.00
81 -28836 0.00 0.00
81 20972 0.00 0.00
81 15729 0.00 -1.26
81 28836 0.00 0.00
81 -2621 0.00 0.00
81 -13107 2.76 0.00
81 716 -2.50 5.01
81 867 -3.82 5.81
81 10486 6.40 0.00
81 -5243 0.00 0.00
81 26214 0.00 0.00
81 5243 0.00 0.00
81 18350 5.87 0.00
81 690 -1.51 0.00
81 23593 0.00 0.00
81 766 0.00 0.00
81 -10486 0.00 0.00
81 -26214 -1.78 0.00
81 20972 8.73 0.00
81 20972 8.84 0.00
81 7864 0.00 0.00
81 -7864 2.73 0.00
81 7864 6.90 0.00
81 -23593 -2.17 0.00
81 -20972 4.87 0.00
81 731 0.00 0.00
81 -20972 2.86 0.00
81 13107 7.04 0.00
81 -15729 -1.92 0.00
81 -31457 6.66 0.00
81 2621 3.80 0.00
81 -31457 0.00 0.00
81 31457 2.97 0.00
81 754 -0.46 4.07
81 683 2.34 2.43
81 464 0.00 0.00
81 23593 0.00 0.00
81 -10486 0.00 0.00
81 769 0.00 0.00
81 -18350 0.00 0.00
81 -20972 4.62 0.00
81 23593 8.00 0.00
81 2621 0.00 0.00
81 666 1.75 0.00
81 -23593 0.00 0.00
81 766 0.00 0.00
81 13107 0.00 0.00
82 -28836 0.00 0.00
85 692 0.00 0.00
85 -13107 0.00 0.00
85 -10486 4.80 0.00
85 769 0.00 0.00
85 13107 -2.23 0.00
85 760 0.00 0.00
85 856 0.00 0.00
85 -10486 0.00 0.00
85 -23593 0.00 0.00
85 -15729 0.00 0.00
86 7864 -0.86 0.00
87 -15729 2.65 0.00
87 -28836 0.00 0.00
87 752 0.00 0.00
87 -20972 0.00 0.00
87 769 0.00 0.00
87 -18350 -0.14 0.00
87 768 3.41 3.33
88 755 6.00 0.00
91 709 -2.40 0.00
90 769 0.00 0.00
90 -28836 0.00 0.00
90 -23593 1.88 0.00
90 755 0.00 0.00
90 5243 6.41 0.00
90 -26214 0.47 0.00
90 2621 -0.74 0.00
90 762 0.00 0.00
90 -20972 1.56 0.00
90 768 2.54 2.01
90 13107 0.00 0.00
90 737 0.00 0.00
90 -10486 8.75 0.00
90 2621 2.91 0.00
90 769 3.76 2.49
90 7864 0.00 0.00
90 18350 0.00 0.00
90 -5243 0.00 0.00
90 31457 0.00 5.78
90 0 0.00 2.25
90 -28836 0.00 3.85
90 769 0.00 0.00
90 23593 4.04 0.00
90 7864 -2.93 0.00
90 -13107 0.00 0.00
90 23593 0.00 0.00
90 -15729 0.45 0.00
90 745 0.26 2.18
90 768 2.36 0.00
90 769 0.00 0.00
90 18350 3.02 0.00
90 -28836 0.00 0.00
90 693 0.90 0.00
90 -2621 0.00 0.00
90 -18350 5.56 0.00
90 -20972 4.91 0.00
90 -5243 8.00 0.00
90 13107 4.18 0.00
90 -20972 1.65 0.00
90 26214 3.54 0.00
90 5243 6.13 0.00
90 -10486 0.00 0.00
90 -15729 4.22 0.00
90 -20972 -0.18 0.00
90 28836 7.14 0.00
90 20972 2.48 0.00
90 18350 7.49 0.00
90 -28836 1.66 0.00
90 31457 4.33 0.00
90 5243 5.32 0.00
90 26214 5.77 0.00
90 -23593 1.15 0.00
90 28836 5.82 0.00
90 -28836 7.56 0.00
90 5243 5.26 0.00
90 28836 4.75 0.00
90 -13107 -2.59 0.00
90 -18350 1.17 0.00
90 7864 2.75 0.00
90 -7864 -2.09 0.00
90 18350 0.00 0.00
90 26214 -0.07 0.00
90 -28836 -0.07 0.00
90 -15729 2.73 0.00
90 -15729 7.53 0.00
90 -7864 2.03 0.00
90 20972 5.98 0.00
90 28836 4.75 0.00
90 -10486 1.89 0.00
90 15729 1.47 0.00
90 -26214 5.39 0.00
90 -18350 0.00 0.00
90 -31457 3.60 0.00
90 18350 3.13 0.00
90 5243 0.43 0.00
90 7864 0.00 0.00
90 -20972 0.34 0.00
90 26214 1.16 0.00
90 -26214 -0.60 0.00
90 13107 5.96 0.00
90 -28836 1.23 0.00
90 -7864 -1.07 0.00
90 26214 1.36 0.00
90 -28836 5.96 0.00
90 5243 2.21 0.00
90 -23593 5.98 0.00
90 -7864 5.39 0.00
90 -10486 0.88 0.00
90 2621 6.56 0.00
90 5243 3.10 0.00
90 767 -2.10 3.52
90 744 1.16 5.05
90 700 -0.48 4.62
90 418 2.30 -0.67
90 689 -0.73 5.37
90 760 0.77 5.07
90 768 0.98 0.00
90 769 2.87 2.74
90 761 4.73 1.16
90 737 -0.06 7.31
90 679 0.55 1.49
90 536 0.22 0.74
90 743 -0.06 2.91
90 765 2.84 6.17
90 769 -0.54 0.35
90 768 2.04 5.25
90 761 -0.38 2.22
90 739 1.54 5.84
90 670 2.92 2.63
90 573 1.90 3.18
90 742 1.24 5.26
90 768 -0.64 4.69
90 768 -0.66 -0.88
90 765 0.00 0.00
90 711 0.00 0.00
90 -23593 1.63 0.00
90 425 0.00 0.00
90 -7864 0.00 0.00
90 -23593 3.98 0.00
90 -31457 5.39 0.00
90 768 0.00 0.00
90 7864 1.16 0.00
90 -13107 4.26 0.00
90 -10486 3.43 0.00
90 -13107 2.00 0.00
90 -2621 5.53 0.00
90 -28836 1.38 0.00
90 -20972 3.58 0.00
90 2621 2.31 0.00
90 -26214 2.66 0.00
90 28836 7.10 0.00
90 23593 3.08 0.00
90 0 3.93 0.00
90 -23593 0.00 0.00
90 769 3.16 0.00
90 -23593 0.00 0.00
90 18350 0.00 0.00
